ALL STANDALONE,,,,,,,
(As on Date:  13-10-2025  0:55:24),,,,,,,
Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-19329,DR S RADHAKRISHNAN DISTRICT INSTITUTE OF EDUCATION AND TRAINING,Andaman and Nicobar Islands,South Andamans,1998,Urban,Teacher Training,Central Government
S-22757,GOVERNMENT POLYTECHNIC DIGLIPUR ,Andaman and Nicobar Islands,North and Middle Andaman,-,Rural,Technical/Polytechnic,Central Government
S-26097,VICTORIA INSTITUTE OF PARAMEDIAL SCIENCES,Andhra Pradesh,Guntur,2023,Urban,Paramedical,Private Un-Aided
S-12968,"KARUNA SCHOOL OF NURSING, PALLAMRAJU NAGAR, EAST GODAVARI",Andhra Pradesh,Kakinada,2003,Urban,Nursing,Private Un-Aided
S-14848,"GOVERENMENT POLYTECHNIC, KAMALAPURAM",Andhra Pradesh,Y.S.R. Kadapa,2008,Rural,Technical/Polytechnic,State Government
S-630,SIR C.R. REDDY POLYTECHNIC ELURU,Andhra Pradesh,Eluru,1980,Rural,Technical/Polytechnic,Private Un-Aided
S-591,LOYOLA POLYTECHNIC PULLUVENDLA,Andhra Pradesh,Y.S.R. Kadapa,1980,Urban,Technical/Polytechnic,Private Un-Aided
S-593,MADDALA RAMAKRISHNAMMA POLYTECHNIC,Andhra Pradesh,West Godavari,1981,Rural,Technical/Polytechnic,Private Un-Aided
S-650,SRI YVS & SRI BRM POLYTECHNIC,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,1998,Rural,Technical/Polytechnic,Private Un-Aided
S-26098,APOLLO PARAMEDICAL COLLEGE,Andhra Pradesh,NTR,2022,Rural,Paramedical,Private Un-Aided
S-15724,"GOVERNMENT POLYTECHNIC, KALYANDURG, ANANTAPUR",Andhra Pradesh,Ananthapuramu,2009,Rural,Technical/Polytechnic,State Government
S-5575,DISTRICT INSTITUTE OF EDUCATION & TRAINING (DIET) ANGALURU KRISHNA,Andhra Pradesh,Krishna,1988,Rural,Teacher Training,State Government
S-517,DA GOVT POLYTECHNIC ONGOLE,Andhra Pradesh,Prakasam,1982,Urban,Technical/Polytechnic,State Government
S-13161,"SRI PADMAVATHI, SCHOOL OF NURSING, NARAYANAVARAM, CHITTOOR",Andhra Pradesh,Chittoor,2014,Rural,Nursing,Private Un-Aided
S-26452,KBR SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,2023,Urban,Nursing,Private Un-Aided
